2002fb000-2002fc000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2002fc000-200317000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200317000-200318000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200318000-20031f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20031f000-200320000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200320000-200327000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200327000-200328000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200328000-200337000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200337000-200338000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200338000-200357000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200357000-200358000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200358000-20035f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20035f000-200360000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200360000-200386000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200386000-200388000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200388000-2003bf000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2003bf000-2003c0000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2003c0000-2003e7000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2003e7000-2003e8000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2003e8000-2003fc000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2003fc000-200401000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200401000-200402000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200402000-20040c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20040c000-20041f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20041f000-200420000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200420000-20042f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20042f000-200430000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200430000-200463000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200463000-200464000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200464000-200477000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200477000-200478000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200478000-20049b000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20049b000-20049c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20049c000-2004ab000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2004ab000-2004ac000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2004ac000-20056e000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20056e000-200570000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200570000-20057a000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20057a000-20057c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20057c000-20058a000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20058a000-20058c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20058c000-20059a000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20059a000-20059c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20059c000-2005aa000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2005aa000-2005ac000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2005ac000-2005cb000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2005cb000-2005cc000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2005cc000-2005ef000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2005ef000-2005f0000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2005f0000-2005f8000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2005f8000-200601000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200601000-200602000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200602000-200604000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200604000-200630000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200630000-200801000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200801000-200802000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200802000-20080c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20080c000-200813000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200813000-200814000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200814000-200843000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200843000-200844000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200844000-20084f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20084f000-200850000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200850000-200857000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200857000-400000000 ---p 00000000 00:00 0                                [anon:partition_alloc]
61deb27000-61deb29000 r--p 00000000 fd:04 717                            /system/bin/app_process64
61deb29000-61deb2b000 r-xp 00002000 fd:04 717                            /system/bin/app_process64
61deb2b000-61deb2c000 r--p 00004000 fd:04 717                            /system/bin/app_process64
75fffff000-7800000000 ---p 00000000 00:00 0                              [anon:partition_alloc]
790b0e3000-790c040000 ---p 00000000 00:00 0 
790c040000-790c042000 rw-p 00000000 00:00 0 
790c042000-790c0e3000 ---p 00000000 00:00 0 
790c0e3000-79140e3000 rw-p 00000000 00:00 0                              [anon:libc_malloc]
79150e3000-7915842000 ---p 00000000 00:00 0 
7915842000-7915844000 rw-p 00000000 00:00 0 
7915844000-79168c2000 ---p 00000000 00:00 0 
79168c2000-79168c4000 rw-p 00000000 00:00 0 
79168c4000-79170e3000 ---p 00000000 00:00 0 
791d0e3000-791d19c000 ---p 00000000 00:00 0 
791d19c000-791d19e000 rw-p 00000000 00:00 0 
791d19e000-791e9e0000 ---p 00000000 00:00 0 
791e9e0000-791e9e2000 rw-p 00000000 00:00 0 
791e9e2000-791f8be000 ---p 00000000 00:00 0 
791f8be000-791f8c0000 rw-p 00000000 00:00 0 
791f8c0000-79200e3000 ---p 00000000 00:00 0 
79220e3000-79222a0000 ---p 00000000 00:00 0 
79222a0000-79222a2000 rw-p 00000000 00:00 0 
79222a2000-79231c8000 ---p 00000000 00:00 0 
79231c8000-79231ca000 rw-p 00000000 00:00 0 
79231ca000-79240e3000 ---p 00000000 00:00 0 
79250e3000-7925f4a000 ---p 00000000 00:00 0 
7925f4a000-7925f4c000 rw-p 00000000 00:00 0 
7925f4c000-79260e3000 ---p 00000000 00:00 0 
79260e3000-79260e4000 ---p 00000000 00:00 0 
79260e4000-79260e5000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5547]
79260e5000-79261e0000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:5547]
79261e0000-79261e1000 ---p 00000000 00:00 0 
79262c5000-7926cc5000 rw-p 00000000 00:00 0                              [anon:libc_malloc]
7926dc3000-7926dc4000 ---p 00000000 00:00 0 
7926dc4000-7926dc5000 ---p 00000000 00:00 0                              [anon:stack_and_tls:5564]
